epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.769,1.29409,4.29957,1.10764,0.55012,0.07163,0.06293,0.04755,1.79352,3.40672,1.38622,3.15655e-05,3.15655e-05,3.15655e-05
2,482.81,1.09626,2.40238,1.02815,0.4883,0.19476,0.17753,0.1523,1.60765,2.61508,1.27086,6.11455e-05,6.11455e-05,6.11455e-05
3,712.969,0.89661,1.76678,0.96788,0.50202,0.28609,0.27689,0.24687,1.5006,2.29814,1.2346,8.86355e-05,8.86355e-05,8.86355e-05
4,952.841,0.81084,1.46531,0.93917,0.53792,0.33336,0.34056,0.3055,1.47528,2.15692,1.21399,8.5595e-05,8.5595e-05,8.5595e-05
5,1188.98,0.76269,1.29195,0.92454,0.5829,0.36739,0.37527,0.34339,1.42564,2.05479,1.19759,8.246e-05,8.246e-05,8.246e-05
6,1428.72,0.7248,1.1879,0.91381,0.63311,0.39243,0.40801,0.37396,1.41236,2.06083,1.20133,7.9325e-05,7.9325e-05,7.9325e-05
7,1668.4,0.70325,1.11276,0.90704,0.64648,0.4129,0.43041,0.39689,1.37055,1.93946,1.17876,7.619e-05,7.619e-05,7.619e-05
8,1898.57,0.68001,1.05142,0.89818,0.68933,0.4153,0.44122,0.40605,1.39047,1.9469,1.19308,7.3055e-05,7.3055e-05,7.3055e-05
9,2129.65,0.6672,1.00793,0.89558,0.67752,0.43148,0.44897,0.41344,1.39255,1.99419,1.21593,6.992e-05,6.992e-05,6.992e-05
10,2364.51,0.65543,0.96523,0.89255,0.72965,0.4383,0.46066,0.42859,1.35746,1.924,1.18979,6.6785e-05,6.6785e-05,6.6785e-05
11,2603.22,0.6447,0.93356,0.88729,0.71482,0.4373,0.46529,0.43184,1.35172,1.87603,1.18176,6.365e-05,6.365e-05,6.365e-05
12,2840.11,0.6372,0.90652,0.88578,0.6926,0.45528,0.46911,0.43766,1.36113,1.97099,1.22341,6.0515e-05,6.0515e-05,6.0515e-05
13,3079.38,0.62583,0.87799,0.88366,0.69053,0.46164,0.47923,0.44559,1.35609,1.87606,1.19866,5.738e-05,5.738e-05,5.738e-05
14,3313.19,0.62028,0.85946,0.88246,0.68958,0.47405,0.48465,0.45259,1.34083,1.83588,1.15631,5.4245e-05,5.4245e-05,5.4245e-05
15,3552.38,0.61424,0.83935,0.87923,0.7133,0.47735,0.49227,0.45831,1.33392,1.79717,1.16104,5.111e-05,5.111e-05,5.111e-05
16,3781.48,0.60546,0.81934,0.87604,0.7258,0.47173,0.49441,0.46064,1.32536,1.82223,1.17339,4.7975e-05,4.7975e-05,4.7975e-05
17,4018.07,0.60591,0.80846,0.87756,0.70174,0.4874,0.49738,0.4649,1.31475,1.79478,1.16489,4.484e-05,4.484e-05,4.484e-05
18,4249.26,0.59495,0.78887,0.87378,0.73547,0.48379,0.50378,0.47212,1.30386,1.77336,1.16104,4.1705e-05,4.1705e-05,4.1705e-05
19,4473.34,0.59174,0.77853,0.87157,0.74912,0.48432,0.50542,0.47347,1.31269,1.7642,1.16859,3.857e-05,3.857e-05,3.857e-05
20,4705.11,0.58581,0.76495,0.87059,0.73542,0.48761,0.50646,0.4754,1.30864,1.7791,1.16085,3.5435e-05,3.5435e-05,3.5435e-05
21,4944.55,0.58507,0.75807,0.87136,0.76847,0.47838,0.50891,0.47776,1.30246,1.74323,1.16,3.23e-05,3.23e-05,3.23e-05
22,5173.8,0.57999,0.74537,0.86995,0.74386,0.48584,0.51185,0.48024,1.29589,1.75416,1.16006,2.9165e-05,2.9165e-05,2.9165e-05
23,5410.31,0.57685,0.73829,0.86897,0.74246,0.49183,0.51134,0.48051,1.29289,1.75603,1.1644,2.603e-05,2.603e-05,2.603e-05
24,5642.87,0.57412,0.73155,0.86836,0.75492,0.48783,0.51785,0.48709,1.29318,1.73792,1.15973,2.2895e-05,2.2895e-05,2.2895e-05
25,5876.06,0.57181,0.72341,0.86763,0.74269,0.49711,0.51977,0.48806,1.29755,1.74311,1.16023,1.976e-05,1.976e-05,1.976e-05
26,6112.86,0.56531,0.71466,0.86456,0.76031,0.49492,0.52015,0.48917,1.28659,1.72524,1.1558,1.6625e-05,1.6625e-05,1.6625e-05
27,6350.82,0.56596,0.71162,0.8657,0.76016,0.49655,0.52146,0.4907,1.28593,1.71715,1.15053,1.349e-05,1.349e-05,1.349e-05
28,6581.48,0.56132,0.70556,0.86517,0.7665,0.49189,0.52028,0.4894,1.28419,1.71533,1.1533,1.0355e-05,1.0355e-05,1.0355e-05
29,6809.36,0.55882,0.70004,0.86369,0.77257,0.4877,0.52247,0.4912,1.28599,1.7262,1.15805,7.22e-06,7.22e-06,7.22e-06
30,7044.58,0.5549,0.69565,0.86235,0.79432,0.4835,0.52389,0.49308,1.28419,1.72008,1.15286,4.085e-06,4.085e-06,4.085e-06
